catagory,action-link-href,name,company,rate,privacy-policy-link-href
Smart home,https://assistant.google.com/services/a/uid/0000001fa6155974,HM light,,1,http://140.125.235.19/FKS/privacyPolicy.htm
Travel & transportation,https://assistant.google.com/services/a/uid/000000e4ae9f4181,Purple Taxi,action.ai,4.2,http://action.ai/legal/SFCabBotDemo-privacy-policy.html
Education & reference,https://assistant.google.com/services/a/uid/0000003b7ac69c42,Picture Of The Day,RonLi,4.6,http://actions.ronli.xyz/POTD/
Health & fitness,https://assistant.google.com/services/a/uid/00000009429ef378,What's My Diagnosis,Life Plus Studio,2.2,http://adblogcat.com/private-policy-2/
News & magazines,https://assistant.google.com/services/a/uid/000000035b535a4d,Andy For Kansas,,4.2,http://andyforks.com/
Music & audio,https://assistant.google.com/services/a/uid/00000026512ca71c,Radio FM,RadioFM,3.5,http://appradiofm.com/privacy-policy
Weather,https://assistant.google.com/services/a/uid/000000dc5a4e9676,Air Quality Index,Alex Pliutau,4.2,http://aqicn.org/privacy/en
Music & audio,https://assistant.google.com/services/a/uid/000000d78c2695d3,Internet Archive,Internet Archive,4.3,http://archive.org/about/terms.php
Arts & lifestyle,https://assistant.google.com/services/a/uid/0000006f31ef9f7d,Natal Charts,Aygul Zaynullina,3.8,http://astrologersdesk.com/natal-charts-privacy-policy
Smart home,https://assistant.google.com/services/a/uid/000000d1a1ee35cc,Automate Home,Automate,4.2,http://automate.pk/Terms-condition.html
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000febe69c18d,Gita Hub,Shree Krishna Bhakt,5,http://bit.ly/GitaHub
Kids & family,https://assistant.google.com/services/a/uid/00000085746431b1,Brain Voyagers,Brain Voyagers,0,http://brainvoyagersar.com/blog/2018/01/22/privacy-policy/
Weather,https://assistant.google.com/services/a/uid/000000ae87b44fb4,Breckland Weather,Martin Taylor,5,http://brecklandweather.com/Breckland%20Weather%20Privacy%20Policy.txt
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000cde2709d85,Church Lessons,,0,http://church-lessons-privacy-policy.s3-website-us-east-1.amazonaws.com/index.html
Kids & family,https://assistant.google.com/services/a/uid/00000028e4131032,Jungle Adventure,Creativity Incorporated,4.4,http://creativitymobile.com/privacypolicy/
Kids & family,https://assistant.google.com/services/a/uid/0000008ee9f2fc5d,Strangest Day Ever,Creativity Incorporated,4.1,http://creativitymobile.com/privacypolicy/
Health & fitness,https://assistant.google.com/services/a/uid/0000003d27bb2fae,5 minute plank,cubic.ai,3.8,http://cubic.ai/policy.html
Local,https://assistant.google.com/services/a/uid/000000389d251c99,Deltona Staff,E-Gov Link,5,http://deltona.egovhost2.com/privacy-policy/
Smart home,https://assistant.google.com/services/a/uid/000000f033050d51,Gokit,gizwits,3.5,http://docs.gizwits.com/zh-cn/UserManual/hide/statement.html
Food & drink,https://assistant.google.com/services/a/uid/0000000047260f09,Food Expert,"Selectivor (by EatID, Inc.)",4.4,http://eat.selectivor.com/privacy-policy
Games & fun,https://assistant.google.com/services/a/uid/000000e80ed04cf4,Akinator,Elokence,4,http://en.akinator.com/content/15/privacy-policy-of-akinator
Music & audio,https://assistant.google.com/services/a/uid/00000089ae739f0b,Today in Music,Jesse Friedman,4.3,http://f.jesse.ws/today-in-music/privacy-policy/
Business & finance,https://assistant.google.com/services/a/uid/000000e19577ebb8,Coin Control,Goldenmace IT Solutions,4.4,http://goldenmace.com/privacy-policy/
Food & drink,https://assistant.google.com/services/a/uid/000000240b511c36,Gujarati Rasoi,Gujarati Rasoi,5,http://gujarati-rasoi-app.appspot.com/privacy_policy
Smart home,https://assistant.google.com/services/a/uid/0000009b0b5df113,Gro Connect,The Scotts Company,2.1,http://home.myblossom.com/groconnect/support/privacypolicy
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000a069ad6e00,Horoscope TV,Horoscope TV,4.1,http://horoscope.tv/privacy
Business & finance,https://assistant.google.com/services/a/uid/0000009524f5812d,Auto Loan Advisor,"i9 Systems, Inc",5,http://i9systems.com/node/8
Business & finance,https://assistant.google.com/services/a/uid/00000063a728ef60,Business Insurance Advisor,"i9 Systems, Inc",5,http://i9systems.com/node/8
Business & finance,https://assistant.google.com/services/a/uid/000000461ca62328,Credit Repair Advisor,"i9 Systems, Inc",5,http://i9systems.com/node/8
Business & finance,https://assistant.google.com/services/a/uid/0000008e338e2e89,Personal Loan Advisor,"i9 Systems, Inc",5,http://i9systems.com/node/8
Local,https://assistant.google.com/services/a/uid/000000c4b6771b7f,Real Estate Advisor,"i9 Systems, Inc",4.3,http://i9systems.com/node/8
Health & fitness,https://assistant.google.com/services/a/uid/0000003423b03c54,Miss Orange,,4,http://inexushealth.com/privacy.html
